grant_title,project_code,grant_category,grant_type,head_researcher,amount,date_start,date_end,"is_extended (yes,no)"
A Pathway to Global Impact : New Model of Digital Entrepreneurship of Social Sicence Students in Malaysia,,KPT,FRGS,Dr. Ahmad Ridhuwan Bin Abdullah,95875,2025-12-01,0,2028-11-30
Exploring the Spatio-Temporal Dynamics of Melioidosis Spread and Enviromental Correlates in Northern Malaysia ,R/FRGS/A0100/01605A/003/2023/01192,KPT,FRGS,Dr. Mardhiah Binti Kamaruddin,62849,2023-10-01,1,2026-03-31
Developing The Fostering Factors For Homegrown Franchisee Towards Survival Ability During The Pandemic Crisis in Malaysia,R/FRGS/A0100/01231A/002/2021/00952,KPT,FRGS,Dr. Nor Hafiza Binti Othman,142100,2021-09-07,1,2025-03-06
Model Pembangunan Keusahawanan Berasaskan Hadith Dalam Kutub Al-Tisah,R/FRGSEC/A0100/02010A/002/2024/01363,KPT,FRGS-EC,Dr. Muhammad Zulfaris Bin Mohd Salleh,20260,2024-10-01,0,2026-09-30
Modifying An Index Of Tourism Carrying Capacity For Conserving Coastal And Marine Ecosystem In Perhentian Island Towards Achieving Sustainable Ecotourism,R/FRGSEC/A1100/01856A/003/2024/01368,KPT,FRGS-EC,Dr. Nur Syafiqah Binti A. Samad,29430,2024-10-01,0,2026-09-30
Mathematical Modelling Of Vibration Of Shell Structure With Fluid Interaction Under First Order Shear Deformation Theory,R/FRGSEC/A0100/01741A/002/2024/01371,KPT,FRGS-EC,Dr. Nurul Izyan Binti Mat Daud,15000,2024-10-01,0,2026-09-30
Adoption of ESG Reporting Among MSMEs ; Issues and Challenges in Malaysia,R/FRGSEC/A0100/00709A/003/2024/01372,KPT,FRGS-EC,Dr. Tahirah Binti Abdullah,26700,2024-10-01,0,2026-09-30
Modelling and Forecasting Shopee Transactions Using The Theory of Point Processes,R/FRGSEC/A0100/01348A/002/2024/01367,KPT,FRGS-EC,Dr. Tan Wai Hong,26640,2024-10-01,0,2026-09-30
Social Innovation in STEMpreneurship Education: Exploring Generative AI and Civic Values among Rural Schools in Malaysia,R/ISOSIAL/A1500/01983A/003/2025/01491,Agensi,Geran Dana Inovasi Sosial dan Kajian Sosial,Prof. Dr. Raja Suzana Binti Raja Kasim,63680,2025-09-01,0,2026-06-01
Tindakan Sosial Komuniti melalui Hub Ekonomi Mikro: Kajian Inklusif di Pulau Pangkor,,Agensi,Geran Dana Inovasi Sosial dan Kajian Sosial,Prof. Madya Dr. Azwan Bin Abdullah,72100,2025-09-01,0,2026-06-01
"Projek Ekonomi Madani ""Ukiran Perabot Rakyat"" di Temangan, Kelantan",,Dalaman UMK,Geran INSPEK,Dr. Muhammad Zulfaris Bin Mohd Salleh,90000,2025-04-09,0,2026-04-08
"Projek Perusahaan Serai Orang Asli di Pos blau, Gua Musang",,Dalaman UMK,Geran INSPEK,Dr. Noormariana Binti Mohd Din,75000,2025-04-09,0,2026-04-08
"Perusahaan Sosial ""Anyaman Suri MADANI"" untuk Komuniti Berpendapatan Rendah di Pulau Suri, Kelantan",,Dalaman UMK,Geran INSPEK,Dr. Siti Amaliya Binti Mohd Radyi,90000,2025-04-09,0,2026-04-08
Empowering City And Orang Asli Jahai School Children: A 3-Day Nature Camp For Environmental Awareness Adecation And Leadership Development Programme, ,Agensi,Geran SKUM,Dr. Mardhiah Binti Kamaruddin,5044.24,2025-07-27,0,2025-07-29
"Bonny Fish with Flavoured Paste : Food Processing Innovations for Market Value, Convenience and Ready-to Eat",R/IMAP01/A0100/00756A/011/2024/01442,KPT,IMaP,Prof. Dr. Raja Suzana Binti Raja Kasim,307700,2025-04-01,0,2026-03-31
Digital CoBREL For SMEs Brand Sustainable Monitoring : The Brand Resonance Based Application,R/PRGS/A0100/01694A/003/2023/01204,KPT,PRGS,Prof. Madya Dr. Noor Hasmini Binti Abd Ghani,100000,2023-10-01,1,2026-03-31
SWOT  Analysis on the Ecotourism Resiliency at Royal Belum State Park,,Antarabangsa,The European Union Research Grant,Dr. Nurhaiza Binti Nordin,86400,2025-02-01,0,2028-01-31
Focus Group Discussion on the Resiliency of Royal Belum State Park Towards Climate Change Impact, R/EURO/A0100/01695A/002/2025/01466,Antarabangsa,The European Union Research Grant,Dr. Nurnaddia Binti Nordin,86400,2025-02-01,0,2028-01-31
Aspect of Human Resources Management at Royal Belum State Park ,,Antarabangsa,The European Union Research Grant,Prof. Dr. Balakrishnan a/l Parasuraman,28800,2027-02-01,0,2028-01-31
"Environmental, Social And Governance Management Of Royal Belum State Park",R/EURO/A0100/00111A/002/2025/01471,Antarabangsa,The European Union Research Grant,Prof. Madya Dr. Dzulkifli Bin Mukhtar,86400,2025-02-01,0,2028-01-31
The Impact Of Brand Trust On Private Label Brand Loyalty,R/FUND/A0100/01585A/002/2024/01274,Dalaman UMK,UMK Fund,Puan Aimi Nadia Binti Ibrahim @ Zakaria,5000,2023-12-19,1,2025-04-18
Malaysia Halal Entrepreneurship: Exploring The Concept And The Real Challenges; A Need For A Solid Framework ,R/FUND/A0100/01498A/001/2024/01256,Dalaman UMK,UMK Fund,Puan Azizah Binti Musa,5000,2023-12-19,1,2025-06-18
"The Impact Of Online Product Reviews, Advertising Appeal, And Influencer Engagement On Consumer Decisions In E-commerce Retail ",R/FUND/A0100/01015A/001/2024/01254,Dalaman UMK,UMK Fund,Puan Azlinda Shazneem Binti Md Shuaib,5000,2023-12-19,1,2025-06-18
The Effect Of Digitalization On Business Performance ,R/FUND/A0100/01977A/001/2024/01247,Dalaman UMK,UMK Fund,Dr. Abdul Aziz Bin Yaacob,5000,2023-12-19,1,2025-06-18
Adressing Cyberpreneurship Resistance In Promoting Digital Inclusion Towards Socio-Cultural Sustainability ,R/FUND/A0100/01270A/002/2024/01269,Dalaman UMK,UMK Fund,Dr. Hazrina Binti Hasbolah,5000,2023-12-19,1,2025-06-18
Pengurusan Hutang Dalam Kalangan Pekerja Muda,R/FUND/A0100/01379A/002/2024/01255,Dalaman UMK,UMK Fund,Dr. Mohd Afifie Bin Mohd Alwi,5000,2023-12-19,1,2025-06-18
"Implementation Of The Quality Management System Based On The Shariah MS1900 In The Health Sector: A Case Study At An-Nur Hasanah Hospital, Bangi ",R/FUND/A0100/02022A/001/2024/01271,Dalaman UMK,UMK Fund,Dr. Muhammad Firdaus Bin Zakaria,5000,2023-12-19,1,2025-06-18
Financial Planning Literacy Among Government Employees On Retirement ,R/FUND/A0100/02010A/001/2024/01249,Dalaman UMK,UMK Fund,Dr. Muhammad Zulfaris Bin Mohd Salleh,5000,2023-12-19,1,2025-06-18
Modelling The Impact Of Digitalization In Zakat Payment Towards Zakat Collection ,,Dalaman UMK,UMK Fund,Dr. Noormariana Binti Mohd Din,5000,2023-12-19,0,2024-12-18
The Consumer Protection Law From The Perspective Of Retailers And Its Impact On Retail Business ,R/FUND/A0100/02024A/001/2024/01270,Dalaman UMK,UMK Fund,Dr. Norhafifah Binti Samsudin,5000,2023-12-19,1,2025-03-18
Developing Youth Entrepreneurial Skill Training Needs Analysis ,R/FUND/A0100/00689A/002/2024/01268,Dalaman UMK,UMK Fund,Dr. Nur Ain Ayunni Binti Sabri,5000,2023-12-19,1,2025-06-18
