Student Id,Status_daftar,Status_aktif
A24D2804F,Daftar,aktif
A23D062F,Daftar,aktif
A21E062P,Daftar,aktif
A19E026F,Daftar,aktif
A17E058F,Daftar,aktif
A21D011F,Daftar,aktif
A23D085F,Tangguh,aktif
A24E3873F,Daftar,aktif
A23E002F,Daftar,aktif
A24E3951F,Daftar,aktif
A21E055F,Daftar,aktif
A24D3671F,Daftar,aktif
A24D2850F,Daftar,aktif
A23E2780F,Daftar,aktif
A23D050F,Daftar,aktif
A14E019F,Daftar,aktif
A23D2791F,Daftar,aktif
A24E3952P,Daftar,aktif
A24E3930F,Daftar,aktif
A24E3876F,Daftar,aktif
A24E3872F,Daftar,aktif
A24E2859F,Daftar,aktif
A23E061F,Daftar,aktif
A23D077F,Tarik Diri,tidak aktif
A22E028F,Daftar,aktif
A21E069F,Daftar,aktif
A21E054F,Graduat,tidak aktif
A21E013F,Daftar,aktif
A20D0143F,Graduat,tidak aktif
A19E043F,Daftar,aktif
A19E041F,Daftar,aktif
A19E039F,Tarik Diri,tidak aktif
A19E0019F,Daftar,aktif
A19E0011F,NOS,aktif
A18E028P,Daftar,aktif
A18E002F,Daftar,aktif
A16E042F,Graduat,tidak aktif
A15E015F,Graduat,tidak aktif
A12E030P,Graduat,tidak aktif
A11E003F,Graduat,tidak aktif
A22E150F,Daftar,Aktif
A23E079F,Daftar,Aktif
A24D3676F,Daftar,aktif
A24D2824F,Daftar,aktif
A24E2860F,Daftar,aktif
A23E064F,Daftar,aktif
A22E146F,Daftar,aktif
A22E109F,Daftar,aktif
A22E105F,Graduat,tidak aktif
A22D106F,Daftar,aktif
A20E075F,Graduat,tidak aktif
A20E0183F,NOS,aktif
A23E090F,Daftar,aktif
A22E145F,Daftar,aktif
A22E033F,Daftar,aktif
A22E011F,Daftar,aktif
A22D130F,Daftar,aktif
A21E028P,Meninggal Dunia,tidak aktif
A20D0211F,Daftar,aktif
A18E013F,Graduat,tidak aktif
A17E052F,Graduat,tidak aktif
A14D012F,Graduat,tidak aktif
A24D2802F,Daftar,aktif
A23D2774F,Tangguh,aktif
A20E0293F,Daftar,aktif
A20E0102F,Daftar,aktif
A18E026F,Graduat,tidak aktif
A19E038P,Daftar,Aktif
A20E0238F,NOS,aktif
A23D2793F,Daftar,aktif
A23D048F,Daftar,aktif
A22E163F,Daftar,aktif
A24E3943P,Daftar,aktif
A23E054F,Daftar,aktif
A23D091P,Daftar,aktif
A21D031F,NOS,aktif
A20E0166F,Daftar,aktif
A20E0165F,Diberhentikan,tidak aktif
A19E009P,Graduat,tidak aktif
A19E0042F,Daftar,aktif
A19E0030F,Daftar,aktif
A19E0025F,Graduat,tidak aktif
A18E010F,Daftar,aktif
A17E001F,Daftar,aktif
A16E043F,Graduat,tidak aktif
A16E036F,Graduat,tidak aktif
A15E018F,Graduat,tidak aktif
A15D003F,NOS,aktif
A14E010F,NOS,aktif
A12E020F,Graduat,tidak aktif
A12E010F,Graduat,tidak aktif
A24E3936P,Daftar,aktif
P14E018P,Diberhentikan,tidak aktif
A24E3680F,Daftar,aktif
A24E2855F,Daftar,aktif
A24E2831F,Daftar,aktif
A23E082F,Daftar,aktif
A23E081F,Daftar,aktif
A20E0199F,Graduat,tidak aktif
A20E0163F,NOS,aktif
A20E0067F,Graduat,tidak aktif
A19E0041F,Daftar,aktif
A18E021P,Daftar,aktif
A18D041F,Graduat,tidak aktif
E19E032F,NOS,aktif
A23E2727F,Daftar,aktif
A20E073F,Diberhentikan,tidak aktif
A19E047F,Tarik Diri,tidak aktif
A24D2808F,Daftar,aktif
A23D059F,Daftar,aktif
A19E0045F,Daftar,aktif
A19E0039F,Daftar,aktif
A23D051F,Daftar,aktif
A22E144F,Diberhentikan,tidak aktif
A23E2779F,Daftar,aktif
A22D050F,Daftar,aktif
A21E016F,Daftar,aktif
A24E3933P,Daftar,aktif
A24D2864F,Daftar,aktif
A23E2785P,Daftar,aktif
A23E2784F,Daftar,aktif
A23D053F,NOS,aktif
A22E052F,Daftar,aktif
A22E048F,Daftar,aktif
A20D028F,NOS,aktif
A20D022F,Graduat,tidak aktif
A20D0198F,Graduat,tidak aktif
A19E044F,Daftar,aktif
A17E053F,Graduat,tidak aktif
A17E012F,Graduat,tidak aktif
C14E008P,Graduat,tidak aktif
A20E0138P,Daftar,aktif
A19E0035F,Daftar,aktif
A19E0031F,Graduat,tidak aktif
A14E017F,Diberhentikan,tidak aktif
A14E012F,Graduat,tidak aktif
A11E001P,Graduat,tidak aktif
A19E040F,Daftar,aktif
A17D022F,N/A,N/A
A24E3871F,Daftar,aktif
A23E009F,Tangguh,aktif
A23D088F,Tarik Diri,tidak aktif
A21E065F,Tidak daftar,tidak aktif
A21D068F,Daftar,aktif
A24E3878F,Daftar,aktif
A23D017F,Diberhentikan,tidak aktif
A22E167F,Daftar,aktif
A17E021P,daftar,aktif
A22E022F,Daftar,aktif
A21D040F,Diberhentikan,tidak aktif
A20E054F,Daftar,aktif
A24E3864F,Daftar,aktif
A25E5047F,Daftar,aktif
A23D060F,Daftar,aktif
A24E3934F,Daftar,aktif
A24E2856F,Tangguh,aktif
A23E2812F,Daftar,aktif
A20E048F,Graduat,tidak aktif
A20E0201F,Daftar,aktif
A20E0110F,Graduat,tidak aktif
A20E0104F,Daftar,aktif
A20D0279F,Graduat,tidak aktif
A18E025F,Graduat,tidak aktif
A18E001F,Daftar,aktif
A17E063F,Diberhentikan,tidak aktif
A24D3940F,Daftar,aktif
A23D058F,Daftar,aktif
A23D066F,Diberhentikan,tidak aktif
A24E3867F,Daftar,aktif
A23E043F,Daftar,aktif
A23E041F,Daftar,aktif
A22D051F,Graduat,tidak aktif
I20E0223F,Daftar,aktif
E22D055F,Diberhentikan,tidak aktif
A24D2820F,Daftar,aktif
A23E018F,Diberhentikan,tidak aktif
A23D2792F,Diberhentikan,tidak aktif
A23D074F,Diberhentikan,tidak aktif
A23D065F,Diberhentikan,tidak aktif
A23D057F,Diberhentikan,tidak aktif
A23D026F,Daftar,aktif
A22E166F,Tidak daftar,tidak aktif
A22E151F,Daftar,aktif
A22E142F,Tarik Diri,tidak aktif
A22E053F,Daftar,aktif
A18E034F,Graduat,tidak aktif
A18E032F,Daftar,aktif
P14E019P,Meninggal Dunia,tidak aktif
A24E3874F,Daftar,aktif
A24E2862F,Daftar,aktif
A24E2857F,Daftar,aktif
A23E2817P,Daftar,aktif
A23E2816F,Daftar,aktif
A23E2787F,Daftar,aktif
A23E2786F,Daftar,aktif
A23E011F,Daftar,aktif
A23D083F,Daftar,aktif
A23D069F,Daftar,aktif
A23D055F,Daftar,aktif
A23D044F,Tangguh,aktif
A23D016F,Daftar,aktif
A22E024F,Daftar,aktif
A22E014F,Daftar,aktif
A22E002P,Tidak daftar,N/A
A21E067F,Daftar,aktif
A21E032F,Tangguh,aktif
A21D066F,Daftar,aktif
A21D061P,Tidak daftar,N/A
A20E071F,Daftar,aktif
A20E062F,Tidak daftar,N/A
A20D070P,Graduat,tidak aktif
A19E059P,Daftar,aktif
A19D0056P,Daftar,aktif
A17E056P,Diberhentikan,tidak aktif
A16E045F,Daftar,aktif
A16E001F,Daftar,aktif
A15E006P,Graduat,tidak aktif
A12E016F,Graduat,tidak aktif
A24D2852P,Daftar,aktif
A24D2838F,Daftar,aktif
A23E2782F,Daftar,aktif
A21E064F,Diberhentikan,tidak aktif
A16E035F,Graduat,tidak aktif
A16E004P,Graduat,tidak aktif
A15D006F,Graduat,tidak aktif
A14E015F,Graduat,tidak aktif
A12D018F,Graduat,tidak aktif
A24E3929F,Daftar,aktif
A24E2800F,Daftar,aktif
A23E094F,Daftar,aktif
A23D089F,Diberhentikan,tidak aktif
A22E126P,Daftar,aktif
A19D030F,Daftar,aktif
A18D020F,Graduat,tidak aktif
P15F120F,Graduat,tidak aktif
A20E0277F,Daftar,aktif
A20D0107F,Graduat,tidak aktif
A16E026F,Daftar,aktif
A16D076F,Graduat,tidak aktif
A15D023F,Diberhentikan,tidak aktif
A15D004F,Graduat,tidak aktif
A22E003P,Daftar,aktif
A21E049F,Daftar,aktif
A24E3875F,Daftar,aktif
A22D098P,Diberhentikan,tidak aktif
A20D058F,Daftar,aktif
A18E014F,Daftar,aktif
A22D029F,Daftar,aktif
A21D072F,Daftar,aktif
A20E0217F,Daftar,aktif
P15F125F,Graduat,tidak aktif
A21E050F,Ditawarkan,N/A
A20E074F,Graduat,tidak aktif
A20E053F,Daftar,aktif
A20E046F,Graduat,tidak aktif
A20E0184F,Graduat,tidak aktif
A19E052F,Daftar,aktif
A18E045P,Daftar,aktif
A17E016F,Graduat,tidak aktif
A16E030F,Graduat,tidak aktif
A13E030F,Graduat,tidak aktif
A13D010F,Graduat,tidak aktif
A12E021F,Graduat,tidak aktif
A12E019F,Diberhentikan,tidak aktif
A12E012P,Graduat,tidak aktif
A12E005F,Graduat,tidak aktif
A12D029F,Graduat,tidak aktif
A12D008F,Graduat,tidak aktif
A11E015F,Graduat,tidak aktif
A11D024F,Graduat,tidak aktif
A09E004P,Graduat,tidak aktif
A22E120F,Daftar,aktif
A22E115F,Daftar,aktif
A21E033P,Tidak daftar,N/A
A20E052F,Diberhentikan,tidak aktif
A20E0175F,Daftar,aktif
A19E056F,Graduat,tidak aktif
A19E0074P,Graduat,tidak aktif
A19D025F,Diberhentikan,tidak aktif
A18E030F(P),Daftar,aktif
A18E004F,Graduat,tidak aktif
A17E014F,Graduat,tidak aktif
A16D100F,Diberhentikan,tidak aktif
A23E2811F,Daftar,aktif
A20E0155F,Daftar,aktif
A20D0212F,Daftar,aktif
A16E032P,Daftar,aktif
A13E034F,Graduat,tidak aktif
A14D001F,Graduat,tidak aktif
H23E015F,Daftar,aktif
H23E014F,Daftar,aktif
A24D2799F,Tangguh,aktif
A22D097F,Daftar,aktif
A19E051F,Daftar,aktif
A21D046F,Layak Bergraduat,aktif
A22E102F,Daftar,aktif
A22E103F,N/A,N/A
A19E013F,Graduat,tidak aktif
A21E039F,N/A,N/A
A20E0276F,Daftar,aktif
A20E0179F,Graduat,tidak aktif
A16E031F,Graduat,tidak aktif
A24E3870F,Daftar,aktif
A24E3677F,Daftar,aktif
A23E0778F,Daftar,aktif
A23E025F,Daftar,aktif
A20E0300F,Diberhentikan,tidak aktif
A20E0106F,Daftar,aktif
A20D061F,Graduat,tidak aktif
A20D0177F,Graduat,tidak aktif
A18E046F,Daftar,aktif
A24D2821F,Daftar,aktif
A24E3678P,Daftar,aktif
A24D3670F,Daftar,aktif
A21E027P,Daftar,aktif
A20E0139F,Daftar,aktif
A18E027P,Diberhentikan,tidak aktif
A16E050F,Diberhentikan,tidak aktif
A20E0141F,Daftar,aktif
A24D3683F,Daftar,aktif
A21E030P,Graduat,tidak aktif
A22E025F,Tidak daftar,N/A
A22E008F,Tidak daftar,N/A
A20E0213F,Graduat,tidak aktif
A20D0239F,Graduat,tidak aktif
A20D0222F,Graduat,tidak aktif
